ContractAddress,LLOC,CBO,WMC,SWC-0,SWC-101,SWC-104,SWC-105,SWC-106,SWC-107,SWC-110,SWC-112,SWC-113,SWC-114,SWC-115,SWC-116,SWC-120,SWC-124,SWC-127,SWC-128,SWC-997,SWC-998,SWC-999
0xaf4dce16da2877f8c9e00544c93b62ac40631f16,90,0,936,4,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0
0x999967e2ec8a74b7c8e9db19e039d920b31d39d0,151,27,526,3,5,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
0xc07a150ecadf2cc352f5586396e344a6b17625eb,298,30,2627,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,114,98,68,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0x06f3c323f0238c72bf35011071f2b5b7f43a054c,175,0,1451,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xfb782396c9b20e564a64896181c7ac8d8979d5f4,135,0,1520,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x68037790a0229e9ce6eaa8a99ea92964106c4703,341,120,4464,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4cf488387f035ff08c371515562cba712f9015d4,183,22,680,2,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
0x3883f5e181fccaf8410fa61e12b59bad963fb645,129,0,867,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0x744d70fdbe2ba4cf95131626614a1763df805b9e,856,1929,24652,3,4,1,0,0,2,26,0,0,1,0,0,0,0,0,0,0,0,0
0xd794dd1cada4cf79c9eebaab8327a1b0507ef7d4,531,62,5619,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0x97a42154b194d1b6d4d5046f744e627ad6d7af4d,159,0,1902,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,343,67,1242,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
0x0d438f3b5175bebc262bf23753c1e53d03432bde,369,174,3256,2,7,1,0,0,8,0,0,0,0,0,5,0,0,0,0,0,2,0
0xd31695a1d35e489252ce57b129fd4b1b05e6acac,104,0,408,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0x0cdf9acd87e940837ff21bb40c9fd55f68bba059,175,0,2745,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x6b9f031d718dded0d681c20cb754f97b3bb81b78,170,0,2761,2,11,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0xbbbbbbb5aa847a2003fbc6b5c16df0bd1e725f61,254,0,7514,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0x8bd135bb2543955045ca8859c05033d07636d963,100,0,816,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x090185f2135308bad17527004364ebcc2d37e5f6,187,0,1028,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0x9a0b66691d935dee94dd0c5654959492d1cf3ac8,231,30,1639,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0xdac17f958d2ee523a2206206994597c13d831ec7,250,0,2192,2,4,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,164,0,1417,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,214,0,3908,3,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,277,0,3791,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,300,87,2202,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0x62dc4817588d53a056cbbd18231d91ffccd34b2a,200,0,2809,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xf433089366899d83a9f26a773d59ec7ecf30355e,95,0,518,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
0x979aca85ba37c675e78322ed5d97fa980b9bdf00,183,0,1529,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0xe9451142a3b561f327b8d93e6d4e213e098e9ea3,94,0,374,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x51db5ad35c671a87207d88fc11d593ac0c8415bd,181,91,1081,2,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0xf220af718a8d13cce7f5a466722f2b5857cd4215,200,30,1531,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0a50c93c762fdd6e56d86215c24aaad43ab629aa,208,30,1396,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xeb0f0df01c400fd21fb8533a68423703d22cfcc5,24,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x622dffcc4e83c64ba959530a5a5580687a57581b,644,0,11900,1,25,1,0,0,2,4,0,0,0,0,5,0,0,0,4,0,0,0
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,357,52,4107,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,191,48,868,2,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0x3aada3e213abf8529606924d8d1c55cbdc70bf74,249,72,2479,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
0xae12c5930881c53715b369cec7606b70d8eb229f,244,0,3863,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x499a6b77bc25c26bcf8265e2102b1b3dd1617024,133,0,631,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0x3aeae69c196d8db9a35b39c51d7cac00643ec7f1,53,0,301,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0,0,0,3,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0x8a7adc1b690e81c758f1bd0f72dfe27ae6ec56a5,180,0,2900,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0xe3818504c1b32bf1557b16c238b2e01fd3149c17,312,315,4680,3,0,1,0,0,3,35,0,0,3,0,0,0,0,0,0,0,0,0
0x4b520c812e8430659fc9f12f6d0c39026c83588d,0,0,0,2,1,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
